Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-20,Monthly,182000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.508,1.203,Cameras and Accessories,"{'name': 'Cameras and Accessories', 'id': '899043339668'}",0.079,3.059
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.508,1.203,Computers Tablets and Accessories,"{'name': 'Computers Tablets and Accessories', 'id': '951929919689'}",0.032,0.496
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Cars,"{'name': 'Cars', 'id': '950890153091'}",0.976,1.016
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Auto Services and Repair,"{'name': 'Auto Services and Repair', 'id': '895341869140'}",0.093,1.994
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Motorcycles and Scooter,"{'name': 'Motorcycles and Scooter', 'id': '927349329594'}",0.023,0.217
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Aircraft,"{'name': 'Aircraft', 'id': '923340792367'}",0.015,0.251
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Car and Motorcycle Design,"{'name': 'Car and Motorcycle Design', 'id': '896742500696'}",0.013,0.242
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Watercraft,"{'name': 'Watercraft', 'id': '945927342064'}",0.013,0.405
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.503,1.804,Campers and RV,"{'name': 'Campers and RV', 'id': '903916128253'}",0.011,0.772
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.497,1.573,Animals and Pet Supplies,"{'name': 'Animals and Pet Supplies', 'id': '903972677830'}",0.3,1.027
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.497,1.573,Mammals,"{'name': 'Mammals', 'id': '956932523301'}",0.16,0.74
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.497,1.573,Bird,"{'name': 'Bird', 'id': '952174338649'}",0.088,0.613
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.497,1.573,Arthropods,"{'name': 'Arthropods', 'id': '906756939414'}",0.017,0.312
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.497,1.573,Sealife,"{'name': 'Sealife', 'id': '900726038026'}",0.015,0.589
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.433,1.419,Architectural Style,"{'name': 'Architectural Style', 'id': '908797015303'}",0.49,0.741
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.433,1.419,Residential Architecture,"{'name': 'Residential Architecture', 'id': '917763335785'}",0.311,0.957
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.433,1.419,Landscape and Urbanism Architecture,"{'name': 'Landscape and Urbanism Architecture', 'id': '924770706928'}",0.216,0.953
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.433,1.419,Commercial and Office Architecture,"{'name': 'Commercial and Office Architecture', 'id': '958567870080'}",0.141,0.736
Finance,"{'name': 'Finance', 'id': '913207199297'}",0.247,4.907,Financial Planning,"{'name': 'Financial Planning', 'id': '922373956527'}",0.063,1.186
